Country/area,Technology,Jobs (thousand),Source,Note,Year
Greece,Liquid Biofuels,10.9,EurObserv'ER (2020),,2019
Greece,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2019
Greece,Others,,,,2019
Greece,Solar Heating / Cooling,1.8,EurObserv'ER (2020),,2019
Greece,Solar Photovoltaic,1.8,EurObserv'ER (2020),,2019
Greece,Solid Biomass,2.4,EurObserv'ER (2020),,2019
Greece,"Tide, Wave and Ocean Energy",,,,2019
Greece,Wind Energy,5.1,EurObserv'ER (2020),,2019
Guinea,All technologies,1.9,,,2019
Guinea,Biogas,,,,2019
Guinea,CSP,,,,2019
Guinea,Geothermal Energy,,,,2019
Guinea,Hydropower,,,,2019
Guinea,Liquid Biofuels,,,,2019
Guinea,Municipal and industrial waste,,,,2019
Guinea,Others,,,,2019
Guinea,Solar Heating / Cooling,,,,2019
Guinea,Solar Photovoltaic,1.9,WSJ (2015),,2019
Guinea,Solid Biomass,,,,2019
Guinea,"Tide, Wave and Ocean Energy",,,,2019
Guinea,Wind Energy,,,,2019
Hungary,All technologies,37.376,,,2019
Hungary,Biogas,0.7,EurObserv'ER (2020),,2019
Hungary,CSP,,,,2019
Hungary,Geothermal Energy,0.776,EurObserv'ER (2020),,2019
Hungary,Hydropower,0.1,EurObserv'ER (2020),,2019
Hungary,Liquid Biofuels,18,EurObserv'ER (2020),,2019
Hungary,Municipal and industrial waste,0.4,EurObserv'ER (2020),,2019
Hungary,Others,,,,2019
Hungary,Solar Heating / Cooling,0.2,EurObserv'ER (2020),,2019
Hungary,Solar Photovoltaic,4.5,EurObserv'ER (2020),,2019
Hungary,Solid Biomass,11.8,EurObserv'ER (2020),,2019
Hungary,"Tide, Wave and Ocean Energy",,,,2019
Hungary,Wind Energy,0.9,EurObserv'ER (2020),,2019
Iceland,All technologies,1.6,,,2019
Iceland,Biogas,,,,2019
Iceland,CSP,,,,2019
Iceland,Geothermal Energy,0.784,IRENA focal point,498 direct jobs in electricity and 286 direct jobs in heating,2019
Iceland,Hydropower,0.812,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Iceland,Liquid Biofuels,,,,2019
Iceland,Municipal and industrial waste,,,,2019
Iceland,Others,,,,2019
Iceland,Solar Heating / Cooling,,,,2019
Iceland,Solar Photovoltaic,,,,2019
Iceland,Solid Biomass,,,,2019
Iceland,"Tide, Wave and Ocean Energy",,,,2019
Iceland,Wind Energy,0.004,IRENA focal point,Direct Jobs only.,2019
India,All technologies,832.698,,,2019
India,Biogas,85,MNRE and CII (2010),,2019
India,CSP,,,,2019
India,Geothermal Energy,,,,2019
India,Hydropower,367.153,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
India,Liquid Biofuels,35.055,Urbanchuk (2012),,2019
India,Municipal and industrial waste,,,,2019
India,Others,,,,2019
India,Solar Heating / Cooling,20.69,IRENA estimate,Based on employment factors and capacity data,2019
India,Solar Photovoltaic,204,IRENA estimate,"109,000 in on-gird and 95,000 in off-grid",2019
India,Solid Biomass,58,MNRE and CII (2010),,2019
India,"Tide, Wave and Ocean Energy",,,,2019
India,Wind Energy,62.8,IRENA estimate,Based on employment factors and capacity data,2019
Indonesia,All technologies,519.196,,,2019
Indonesia,Biogas,,,,2019
Indonesia,CSP,,,,2019
Indonesia,Geothermal Energy,7,Chevron Indonesia (2012),Only employed by Chevron,2019
Indonesia,Hydropower,17.796,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Indonesia,Liquid Biofuels,494.4,IRENA estimate,Employment factor based estimate,2019
Indonesia,Municipal and industrial waste,,,,2019
Indonesia,Others,,,,2019
Indonesia,Solar Heating / Cooling,,,,2019
Indonesia,Solar Photovoltaic,,,,2019
Indonesia,Solid Biomass,,,,2019
Indonesia,"Tide, Wave and Ocean Energy",,,,2019
Indonesia,Wind Energy,,,,2019
Iran (Islamic Republic of),All technologies,46.808,,,2019
Iran (Islamic Republic of),Biogas,,,,2019
Iran (Islamic Republic of),CSP,,,,2019
Iran (Islamic Republic of),Geothermal Energy,0.2,IRENA focal point,,2019
Iran (Islamic Republic of),Hydropower,28.508,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Iran (Islamic Republic of),Liquid Biofuels,,,,2019
Iran (Islamic Republic of),Municipal and industrial waste,0.2,IRENA focal point,,2019
Iran (Islamic Republic of),Others,0.1,IRENA focal point,,2019
Iran (Islamic Republic of),Solar Heating / Cooling,,,,2019
Iran (Islamic Republic of),Solar Photovoltaic,14.4,IRENA focal point,,2019
Iran (Islamic Republic of),Solid Biomass,,,,2019
Iran (Islamic Republic of),"Tide, Wave and Ocean Energy",,,,2019
Iran (Islamic Republic of),Wind Energy,3.4,IRENA focal point,,2019
Ireland,All technologies,8.325,,,2019
Ireland,Biogas,0.2,EurObserv'ER (2020),,2019
Ireland,CSP,,,,2019
Ireland,Geothermal Energy,0.125,EurObserv'ER (2020),,2019
Ireland,Hydropower,0.3,EurObserv'ER (2020),,2019
Ireland,Liquid Biofuels,0.2,EurObserv'ER (2020),,2019
Ireland,Municipal and industrial waste,1.6,EurObserv'ER (2020),,2019
Ireland,Others,,,,2019
Ireland,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2019
Ireland,Solar Photovoltaic,0.2,EurObserv'ER (2020),,2019
Ireland,Solid Biomass,1.1,EurObserv'ER (2020),,2019
Ireland,"Tide, Wave and Ocean Energy",,,,2019
Ireland,Wind Energy,4.5,EurObserv'ER (2020),,2019
Israel,All technologies,7.99,,,2019
Israel,Biogas,0.02,IRENA focal point,,2019
Israel,CSP,0.1,IRENA focal point,,2019
Israel,Geothermal Energy,,,,2019
Israel,Hydropower,,,,2019
Israel,Liquid Biofuels,0.04,IRENA focal point,,2019
Israel,Municipal and industrial waste,0.15,IRENA focal point,,2019
Israel,Others,,,,2019
Israel,Solar Heating / Cooling,3.13,IRENA estimate,Based on employment factors and capacity data,2019
Israel,Solar Photovoltaic,4.4,IRENA estimate,Based on employment factors and capacity data,2019
Israel,Solid Biomass,0.04,IRENA focal point,,2019
Israel,"Tide, Wave and Ocean Energy",0.01,IRENA focal point,,2019
Israel,Wind Energy,0.1,IRENA focal point,,2019
Italy,All technologies,76.376,,,2019
Italy,Biogas,8.4,EurObserv'ER (2020),,2019
Italy,CSP,,,,2019
Italy,Geothermal Energy,2.219,EurObserv'ER (2020),,2019
Italy,Hydropower,9.857,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Italy,Liquid Biofuels,8.5,EurObserv'ER (2020),,2019
Italy,Municipal and industrial waste,2.4,EurObserv'ER (2020),,2019
Italy,Others,,,,2019
Italy,Solar Heating / Cooling,1.1,EurObserv'ER (2020),,2019
Italy,Solar Photovoltaic,11.4,EurObserv'ER (2020),,2019
Italy,Solid Biomass,24.4,EurObserv'ER (2020),,2019
Italy,"Tide, Wave and Ocean Energy",,,,2019
Italy,Wind Energy,8.1,EurObserv'ER (2020),,2019
Japan,All technologies,265.347,,,2019
Japan,Biogas,,,,2019
Japan,CSP,,,,2019
Japan,Geothermal Energy,0.214,IRENA estimate,,2019
Japan,Hydropower,9.181,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Japan,Liquid Biofuels,3.102,Urbanchuk (2012),,2019
Japan,Municipal and industrial waste,,,,2019
Japan,Others,,,,2019
Japan,Solar Heating / Cooling,0.591,IRENA estimate,Based on employment factors and capacity data,2019
Japan,Solar Photovoltaic,249.809,IRENA estimate,Based on trends in solar demand and equipment production,2019
Japan,Solid Biomass,,,,2019
Japan,"Tide, Wave and Ocean Energy",,,,2019
Japan,Wind Energy,2.45,IRENA focal point,Direct jobs in manufacturing (turbine and facilities),2019
Jordan,All technologies,25.871,,,2019
Jordan,Biogas,,,,2019
Jordan,CSP,,,,2019
Jordan,Geothermal Energy,,,,2019
Jordan,Hydropower,,,,2019
Jordan,Liquid Biofuels,,,,2019
Jordan,Municipal and industrial waste,,,,2019
Jordan,Others,,,,2019
Jordan,Solar Heating / Cooling,4,IRENA focal point,,2019
Jordan,Solar Photovoltaic,20.751,IRENA focal point,,2019
Jordan,Solid Biomass,,,,2019
Jordan,"Tide, Wave and Ocean Energy",,,,2019
Jordan,Wind Energy,1.12,IRENA focal point,,2019
Kazakhstan,All technologies,7.196,,,2019
Kazakhstan,Biogas,,,,2019
Kazakhstan,CSP,,,,2019
Kazakhstan,Geothermal Energy,,,,2019
Kazakhstan,Hydropower,2.646,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Kazakhstan,Liquid Biofuels,,,,2019
Kazakhstan,Municipal and industrial waste,,,,2019
Kazakhstan,Others,,,,2019
Kazakhstan,Solar Heating / Cooling,,,,2019
Kazakhstan,Solar Photovoltaic,2.35,IRENA estimate,Based on employment factors and capacity data,2019
Kazakhstan,Solid Biomass,,,,2019
Kazakhstan,"Tide, Wave and Ocean Energy",,,,2019
Kazakhstan,Wind Energy,2.2,IRENA estimate,Based on employment factors and capacity data,2019
Kenya,All technologies,7.461,,,2019
Kenya,Biogas,,,,2019
Kenya,CSP,,,,2019
Kenya,Geothermal Energy,0.53,IRENA estimate,,2019
Kenya,Hydropower,,,,2019
Kenya,Liquid Biofuels,,,,2019
Kenya,Municipal and industrial waste,,,,2019
Kenya,Others,,,,2019
Kenya,Solar Heating / Cooling,,,,2019
Kenya,Solar Photovoltaic,2.5,M-Kopa (2016),,2019
Kenya,Solid Biomass,,,,2019
Kenya,"Tide, Wave and Ocean Energy",,,,2019
Kenya,Wind Energy,4.431,IRENA estimate,Based on employment factors and capacity data,2019
Kyrgyzstan,All technologies,0.41,,,2019
Kyrgyzstan,Biogas,0.06,IRENA estimate,O&M jobs only,2019
Kyrgyzstan,CSP,,,,2019
Kyrgyzstan,Geothermal Energy,,,,2019
Kyrgyzstan,Hydropower,0.15,IRENA focal point,,2019
Kyrgyzstan,Liquid Biofuels,,,,2019
Kyrgyzstan,Municipal and industrial waste,,,,2019
Kyrgyzstan,Others,0.15,IRENA estimate,Equipment manufacturing for all renewables,2019
Kyrgyzstan,Solar Heating / Cooling,0.02,IRENA estimate,O&M jobs only,2019
Kyrgyzstan,Solar Photovoltaic,0.03,IRENA estimate,O&M jobs only,2019
Kyrgyzstan,Solid Biomass,,,,2019
Kyrgyzstan,"Tide, Wave and Ocean Energy",,,,2019
Kyrgyzstan,Wind Energy,,,,2019
Latvia,All technologies,34.002,,,2019
Latvia,Biogas,0.8,EurObserv'ER (2020),,2019
Latvia,CSP,,,,2019
Latvia,Geothermal Energy,0.102,EurObserv'ER (2020),,2019
Latvia,Hydropower,3.3,EurObserv'ER (2020),,2019
Latvia,Liquid Biofuels,4.9,EurObserv'ER (2020),,2019
Latvia,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2019
Latvia,Others,,,,2019
Latvia,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2019
Latvia,Solar Photovoltaic,0.1,EurObserv'ER (2020),,2019
Latvia,Solid Biomass,24.4,EurObserv'ER (2020),,2019
Latvia,"Tide, Wave and Ocean Energy",,,,2019
Latvia,Wind Energy,0.2,EurObserv'ER (2020),,2019
Lebanon,All technologies,1.1,,,2019
Lebanon,Biogas,,,,2019
Lebanon,CSP,,,,2019
Lebanon,Geothermal Energy,,,,2019
Lebanon,Hydropower,,,,2019
Lebanon,Liquid Biofuels,,,,2019
Lebanon,Municipal and industrial waste,,,,2019
Lebanon,Others,,,,2019
Lebanon,Solar Heating / Cooling,0.51,IRENA estimate,Based on employment factors and capacity data,2019
Lebanon,Solar Photovoltaic,0.531,IRENA focal point,,2019
Lebanon,Solid Biomass,0.02,IRENA focal point,,2019
Lebanon,"Tide, Wave and Ocean Energy",,,,2019
Lebanon,Wind Energy,0.039,IRENA focal point,,2019
Lesotho,All technologies,0.09,,,2019
Lesotho,Biogas,,,,2019
Lesotho,CSP,,,,2019
Lesotho,Geothermal Energy,,,,2019
Lesotho,Hydropower,,,,2019
Lesotho,Liquid Biofuels,,,,2019
Lesotho,Municipal and industrial waste,,,,2019
Lesotho,Others,,,,2019
Lesotho,Solar Heating / Cooling,,,,2019
Lesotho,Solar Photovoltaic,0.09,UNDP (2015),,2019
Lesotho,Solid Biomass,,,,2019
Lesotho,"Tide, Wave and Ocean Energy",,,,2019
Lesotho,Wind Energy,,,,2019
Libya,All technologies,0.5,,,2019
Libya,Biogas,,,,2019
Libya,CSP,,,,2019
Libya,Geothermal Energy,,,,2019
Libya,Hydropower,,,,2019
Libya,Liquid Biofuels,,,,2019
Libya,Municipal and industrial waste,,,,2019
Libya,Others,0.5,IRENA estimate,,2019
Libya,Solar Heating / Cooling,,,,2019
Libya,Solar Photovoltaic,,,,2019
Libya,Solid Biomass,,,,2019
Libya,"Tide, Wave and Ocean Energy",,,,2019
Libya,Wind Energy,,,,2019
Lithuania,All technologies,10.605,,,2019
Lithuania,Biogas,0.3,EurObserv'ER (2020),,2019
Lithuania,CSP,,,,2019
Lithuania,Geothermal Energy,0.105,EurObserv'ER (2020),,2019
Lithuania,Hydropower,0.6,EurObserv'ER (2020),,2019
Lithuania,Liquid Biofuels,6.1,EurObserv'ER (2020),,2019
Lithuania,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2019
Lithuania,Others,,,,2019
Lithuania,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2019
Lithuania,Solar Photovoltaic,0.1,EurObserv'ER (2020),,2019
Lithuania,Solid Biomass,2.7,EurObserv'ER (2020),,2019
Lithuania,"Tide, Wave and Ocean Energy",,,,2019
Lithuania,Wind Energy,0.5,EurObserv'ER (2020),,2019
Luxembourg,All technologies,1.33,,,2019
Luxembourg,Biogas,0.1,EurObserv'ER (2020),,2019
Luxembourg,CSP,,,,2019
Luxembourg,Geothermal Energy,0.13,EurObserv'ER (2020),,2019
Luxembourg,Hydropower,0.5,EurObserv'ER (2020),,2019
Luxembourg,Liquid Biofuels,0.1,EurObserv'ER (2020),,2019
Luxembourg,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2019
Luxembourg,Others,,,,2019
Luxembourg,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2019
Luxembourg,Solar Photovoltaic,0.1,EurObserv'ER (2020),,2019
Luxembourg,Solid Biomass,0.1,EurObserv'ER (2020),,2019
Luxembourg,"Tide, Wave and Ocean Energy",,,,2019
Luxembourg,Wind Energy,0.1,EurObserv'ER (2020),,2019
Malaysia,All technologies,172.506,,,2019
Malaysia,Biogas,3.712,IRENA focal point,Direct and indirect jobs.,2019
Malaysia,CSP,,,,2019
Malaysia,Geothermal Energy,,,,2019
Malaysia,Hydropower,7.232,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Malaysia,Liquid Biofuels,100.9,IRENA estimate,Employment factor based estimate,2019
Malaysia,Municipal and industrial waste,,,,2019
Malaysia,Others,,,,2019
Malaysia,Solar Heating / Cooling,,,,2019
Malaysia,Solar Photovoltaic,54.92,IRENA focal point,Direct and indirect jobs.,2019
Malaysia,Solid Biomass,5.742,IRENA focal point,Direct and indirect jobs.,2019
Malaysia,"Tide, Wave and Ocean Energy",,,,2019
Malaysia,Wind Energy,,,,2019
Mali,All technologies,1.9,,,2019
Mali,Biogas,,,,2019
Mali,CSP,,,,2019
Mali,Geothermal Energy,,,,2019
Mali,Hydropower,,,,2019
Mali,Liquid Biofuels,,,,2019
Mali,Municipal and industrial waste,,,,2019
Mali,Others,,,,2019
Mali,Solar Heating / Cooling,,,,2019
Mali,Solar Photovoltaic,1.9,IRENA estimate,Construction jobs of a 33 MW solar PV; Jobs in offgrid solar ,2019
Mali,Solid Biomass,,,,2019
Mali,"Tide, Wave and Ocean Energy",,,,2019
Mali,Wind Energy,,,,2019
Malta,All technologies,1,,,2019
Malta,Biogas,0.1,EurObserv'ER (2020),,2019
Malta,CSP,,,,2019
Malta,Geothermal Energy,0.1,EurObserv'ER (2020),,2019
Malta,Hydropower,0.1,EurObserv'ER (2020),,2019
Malta,Liquid Biofuels,0.1,EurObserv'ER (2020),,2019
Malta,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2019
Malta,Others,,,,2019
Malta,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2019
Malta,Solar Photovoltaic,0.2,EurObserv'ER (2020),,2019
Malta,Solid Biomass,0.1,EurObserv'ER (2020),,2019
Malta,"Tide, Wave and Ocean Energy",,,,2019
Malta,Wind Energy,0.1,EurObserv'ER (2020),,2019
Mauritius,All technologies,1.369,,,2019
Mauritius,Biogas,,,,2019
Mauritius,CSP,,,,2019
Mauritius,Geothermal Energy,,,,2019
Mauritius,Hydropower,,,,2019
Mauritius,Liquid Biofuels,1.3,Investmauritius (2016),,2019
Mauritius,Municipal and industrial waste,,,,2019
Mauritius,Others,,,,2019
Mauritius,Solar Heating / Cooling,0.069,IRENA estimate,Based on employment factors and capacity data,2019
Mauritius,Solar Photovoltaic,,,,2019
Mauritius,Solid Biomass,,,,2019
Mauritius,"Tide, Wave and Ocean Energy",,,,2019
Mauritius,Wind Energy,,,,2019
Mexico,All technologies,97.868,,,2019
Mexico,Biogas,0,SENER (2016),,2019
Mexico,CSP,,,,2019
Mexico,Geothermal Energy,17.34,IRENA focal point,Direct & Indirect jobs based on I-O model,2019
Mexico,Hydropower,16.718,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Mexico,Liquid Biofuels,,,,2019
Mexico,Municipal and industrial waste,,,,2019
Mexico,Others,,,,2019
Mexico,Solar Heating / Cooling,4.66,IRENA estimate,Based on employment factors and capacity data,2019
Mexico,Solar Photovoltaic,23.31,IRENA focal point,Direct & Indirect jobs based on I-O model,2019
Mexico,Solid Biomass,12,IRENA focal point,"Includes biogas, Direct & Indirect jobs based on I-O model.",2019
Mexico,"Tide, Wave and Ocean Energy",,,,2019
Mexico,Wind Energy,23.84,IRENA focal point,Direct & Indirect jobs based on I-O model,2019
Mongolia,All technologies,0.277,,,2019
Mongolia,Biogas,,,,2019
Mongolia,CSP,,,,2019
Mongolia,Geothermal Energy,,,,2019
Mongolia,Hydropower,0.173,IRENA estimate,Direct Jobs only.,2019
Mongolia,Liquid Biofuels,,,,2019
Mongolia,Municipal and industrial waste,,,,2019
Mongolia,Others,,,,2019
Mongolia,Solar Heating / Cooling,,,,2019
Mongolia,Solar Photovoltaic,0.039,IRENA estimate,Direct Jobs only.,2019
Mongolia,Solid Biomass,,,,2019
Mongolia,"Tide, Wave and Ocean Energy",,,,2019
Mongolia,Wind Energy,0.065,IRENA estimate,Direct Jobs only.,2019
Morocco,All technologies,7.011,,,2019
Morocco,Biogas,,,,2019
Morocco,CSP,1.8,Zawya (2015),,2019
Morocco,Geothermal Energy,,,,2019
Morocco,Hydropower,2.541,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Morocco,Liquid Biofuels,,,,2019
Morocco,Municipal and industrial waste,,,,2019
Morocco,Others,,,,2019
Morocco,Solar Heating / Cooling,0.281,IRENA estimate,Based on employment factors and capacity data,2019
Morocco,Solar Photovoltaic,1.419,IRENA estimate,Based on employment factors and capacity data,2019
Morocco,Solid Biomass,,,,2019
Morocco,"Tide, Wave and Ocean Energy",,,,2019
Morocco,Wind Energy,0.97,IRENA estimate,Based on employment factors and capacity data,2019
Mozambique,All technologies,1.282,,,2019
Mozambique,Biogas,,,,2019
Mozambique,CSP,,,,2019
Mozambique,Geothermal Energy,,,,2019
Mozambique,Hydropower,,,,2019
Mozambique,Liquid Biofuels,1.272,Urbanchuk (2012),,2019
Mozambique,Municipal and industrial waste,,,,2019
Mozambique,Others,,,,2019
Mozambique,Solar Heating / Cooling,0.01,IRENA estimate,Based on employment factors and capacity data,2019
Mozambique,Solar Photovoltaic,,,,2019
Mozambique,Solid Biomass,,,,2019
Mozambique,"Tide, Wave and Ocean Energy",,,,2019
Mozambique,Wind Energy,,,,2019
Myanmar,All technologies,53.657,,,2019
Myanmar,Biogas,,,,2019
Myanmar,CSP,,,,2019
Myanmar,Geothermal Energy,,,,2019
Myanmar,Hydropower,53.657,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Myanmar,Liquid Biofuels,,,,2019
Myanmar,Municipal and industrial waste,,,,2019
Myanmar,Others,,,,2019
Myanmar,Solar Heating / Cooling,,,,2019
Myanmar,Solar Photovoltaic,,,,2019
Myanmar,Solid Biomass,,,,2019
Myanmar,"Tide, Wave and Ocean Energy",,,,2019
Myanmar,Wind Energy,,,,2019
Namibia,All technologies,0.51,,,2019
Namibia,Biogas,,,,2019
Namibia,CSP,,,,2019
Namibia,Geothermal Energy,,,,2019
Namibia,Hydropower,,,,2019
Namibia,Liquid Biofuels,,,,2019
Namibia,Municipal and industrial waste,,,,2019
Namibia,Others,,,,2019
Namibia,Solar Heating / Cooling,0.05,IRENA estimate,Based on employment factors and capacity data,2019
Namibia,Solar Photovoltaic,0.46,Solar-Inverter (2015),,2019
Namibia,Solid Biomass,,,,2019
Namibia,"Tide, Wave and Ocean Energy",,,,2019
Namibia,Wind Energy,,,,2019
Nepal,All technologies,11,,,2019
Nepal,Biogas,11,ADDCP (2009),,2019
Nepal,CSP,,,,2019
Nepal,Geothermal Energy,,,,2019
Nepal,Hydropower,,,,2019
Nepal,Liquid Biofuels,,,,2019
Nepal,Municipal and industrial waste,,,,2019
Nepal,Others,,,,2019
Nepal,Solar Heating / Cooling,,,,2019
Nepal,Solar Photovoltaic,,,,2019
Nepal,Solid Biomass,,,,2019
Nepal,"Tide, Wave and Ocean Energy",,,,2019
Nepal,Wind Energy,,,,2019
Netherlands,All technologies,32.361,,,2019
Netherlands,Biogas,0.7,EurObserv'ER (2020),,2019
Netherlands,CSP,,,,2019
Netherlands,Geothermal Energy,1.261,EurObserv'ER (2020),,2019
Netherlands,Hydropower,0.1,EurObserv'ER (2020),,2019
Netherlands,Liquid Biofuels,2.4,EurObserv'ER (2020),,2019
Netherlands,Municipal and industrial waste,3.4,EurObserv'ER (2020),,2019
Netherlands,Others,,,,2019
Netherlands,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2019
Netherlands,Solar Photovoltaic,14.3,EurObserv'ER (2020),,2019
Netherlands,Solid Biomass,3.3,EurObserv'ER (2020),,2019
Netherlands,"Tide, Wave and Ocean Energy",,,,2019
Netherlands,Wind Energy,6.8,EurObserv'ER (2020),,2019
New Zealand,All technologies,3.543,,,2019
New Zealand,Biogas,,,,2019
New Zealand,CSP,,,,2019
New Zealand,Geothermal Energy,0.627,IRENA estimate,,2019
New Zealand,Hydropower,2.267,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
New Zealand,Liquid Biofuels,,,,2019
New Zealand,Municipal and industrial waste,,,,2019
New Zealand,Others,,,,2019
New Zealand,Solar Heating / Cooling,,,,2019
New Zealand,Solar Photovoltaic,,,,2019
New Zealand,Solid Biomass,,,,2019
New Zealand,"Tide, Wave and Ocean Energy",,,,2019
New Zealand,Wind Energy,0.649,BERL (2012),,2019
Nicaragua,All technologies,3.574,,,2019
Nicaragua,Biogas,,,,2019
Nicaragua,CSP,,,,2019
Nicaragua,Geothermal Energy,0.124,IRENA estimate,,2019
Nicaragua,Hydropower,0.3,IRENA focal point,,2019
Nicaragua,Liquid Biofuels,,,,2019
Nicaragua,Municipal and industrial waste,,,,2019
Nicaragua,Others,,,,2019
Nicaragua,Solar Heating / Cooling,,,,2019
Nicaragua,Solar Photovoltaic,0.05,IRENA focal point,,2019
Nicaragua,Solid Biomass,3,IRENA focal point,,2019
Nicaragua,"Tide, Wave and Ocean Energy",,,,2019
Nicaragua,Wind Energy,0.1,IRENA focal point,,2019
Nigeria,All technologies,12.348,,,2019
Nigeria,Biogas,,,,2019
Nigeria,CSP,,,,2019
Nigeria,Geothermal Energy,,,,2019
Nigeria,Hydropower,12.298,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Nigeria,Liquid Biofuels,,,,2019
Nigeria,Municipal and industrial waste,,,,2019
Nigeria,Others,,,,2019
Nigeria,Solar Heating / Cooling,0.05,IRENA estimate,Based on employment factors and capacity data,2019
Nigeria,Solar Photovoltaic,,,,2019
Nigeria,Solid Biomass,,,,2019
Nigeria,"Tide, Wave and Ocean Energy",,,,2019
Nigeria,Wind Energy,,,,2019
North Macedonia,All technologies,0.19,,,2019
North Macedonia,Biogas,,,,2019
North Macedonia,CSP,,,,2019
North Macedonia,Geothermal Energy,,,,2019
North Macedonia,Hydropower,,,,2019
North Macedonia,Liquid Biofuels,,,,2019
North Macedonia,Municipal and industrial waste,,,,2019
North Macedonia,Others,,,,2019
North Macedonia,Solar Heating / Cooling,0.19,IRENA estimate,Based on employment factors and capacity data,2019
North Macedonia,Solar Photovoltaic,,,,2019
North Macedonia,Solid Biomass,,,,2019
North Macedonia,"Tide, Wave and Ocean Energy",,,,2019
North Macedonia,Wind Energy,,,,2019
Norway,All technologies,17.375,,,2019
Norway,Biogas,,,,2019
Norway,CSP,,,,2019
Norway,Geothermal Energy,,,,2019
Norway,Hydropower,9.211,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Norway,Liquid Biofuels,,,,2019
Norway,Municipal and industrial waste,,,,2019
Norway,Others,,,,2019
Norway,Solar Heating / Cooling,0.044,IRENA estimate,Based on employment factors and capacity data,2019
Norway,Solar Photovoltaic,0.97,IEA PVPS (2016),,2019
Norway,Solid Biomass,2.35,INTPOW (2009),"The figure given in the source is for all bioenergy. Here, it is assigned to Solid Biomass",2019
Norway,"Tide, Wave and Ocean Energy",,,,2019
Norway,Wind Energy,4.8,IRENA estimate,Based on employment factors and capacity data,2019
Other,All technologies,140.53,,,2019
Other,Biogas,,,,2019
Other,CSP,,,,2019
Other,Geothermal Energy,,,,2019
Other,Hydropower,,,,2019
Other,Liquid Biofuels,,,,2019
Other,Municipal and industrial waste,,,,2019
Other,Others,,,,2019
Other,Solar Heating / Cooling,0.53,,,2019
Other,Solar Photovoltaic,140,,,2019
Other,Solid Biomass,,,,2019
Other,"Tide, Wave and Ocean Energy",,,,2019
Other,Wind Energy,,,,2019
Pakistan,All technologies,108.895,,,2019
Pakistan,Biogas,1,IRENA estimate,,2019
Pakistan,CSP,,,,2019
Pakistan,Geothermal Energy,,,,2019
Pakistan,Hydropower,99.145,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Pakistan,Liquid Biofuels,,,,2019
Pakistan,Municipal and industrial waste,,,,2019
Pakistan,Others,,,,2019
Pakistan,Solar Heating / Cooling,1,IRENA estimate,Based on employment factors and capacity data,2019
Pakistan,Solar Photovoltaic,6.1,IRENA estimate,Based on employment factors and capacity data,2019
Pakistan,Solid Biomass,,,,2019
Pakistan,"Tide, Wave and Ocean Energy",,,,2019
Pakistan,Wind Energy,1.65,IRENA estimate,Based on employment factors and capacity data,2019
Panama,All technologies,1.86,,,2019
Panama,Biogas,,,,2019
Panama,CSP,,,,2019
Panama,Geothermal Energy,,,,2019
Panama,Hydropower,,,,2019
Panama,Liquid Biofuels,,,,2019
Panama,Municipal and industrial waste,,,,2019
Panama,Others,,,,2019
Panama,Solar Heating / Cooling,,,,2019
